model_id,task,budget,seed,icl_accuracy,lora_accuracy,lora_minus_icl_accuracy,icl_runtime_sec,lora_runtime_sec,lora_minus_icl_runtime_sec
Qwen/Qwen3-1.7B,trec,4,42,0.53125,0.33203125,-0.19921875,26.414584886995726,36.405279597005574,9.990694710009848
Qwen/Qwen3-1.7B,trec,8,13,0.66796875,0.4140625,-0.25390625,27.483500982001715,36.65726542999619,9.173764447994472
Qwen/Qwen3-1.7B,trec,8,21,0.62109375,0.359375,-0.26171875,28.801065298997855,37.11772088998987,8.316655590992013
Qwen/Qwen3-1.7B,trec,8,42,0.625,0.3359375,-0.2890625,27.741341731998546,37.026952451997204,9.285610719998658
Qwen/Qwen3-1.7B,trec,16,13,0.68359375,0.40625,-0.27734375,28.01283295200119,38.04338606300735,10.030553111006157
Qwen/Qwen3-1.7B,trec,16,21,0.62890625,0.35546875,-0.2734375,30.123711082000227,37.92064157499408,7.796930492993852
Qwen/Qwen3-1.7B,trec,16,42,0.61328125,0.34765625,-0.265625,28.284806889998436,36.95800286899612,8.673195978997683
Qwen/Qwen3-1.7B,trec,32,13,0.67578125,0.40625,-0.26953125,27.901504011002544,38.65476686700276,10.75326285600022
Qwen/Qwen3-1.7B,trec,32,21,0.671875,0.36328125,-0.30859375,28.51901714500127,39.12095746600971,10.601940321008442
Qwen/Qwen3-1.7B,trec,32,42,0.64453125,0.34765625,-0.296875,28.683200535997457,38.724817401998735,10.041616866001277
Qwen/Qwen3-4B,sst2,1,13,0.93359375,0.91015625,-0.0234375,30.81600466999953,45.23794106798596,14.421936397986428
Qwen/Qwen3-4B,sst2,1,21,0.90625,0.90234375,-0.00390625,30.74447491299361,45.39008286300668,14.645607950013073
Qwen/Qwen3-4B,sst2,1,42,0.9140625,0.921875,0.0078125,30.76142060100392,45.263713880995056,14.502293279991136
